code,name,full_pin_yin,pin_yin,country_code
YIE,阿尔山,aershan,AES,CN
AKU,阿克苏,akesu,AKS,CN
RHT,阿拉善右旗,alashanyouqi,ALSYQ,CN
AXF,阿拉善左旗,alashanzuoqi,ALSZQ,CN
AAT,阿勒泰,aletai,ALT,CN
NGQ,阿里,ali,AL,CN
AKA,安康,ankang,AK,CN
AQG,安庆,anqing,AQ,CN
AVA,安顺,anshun,AS,CN
AOG,鞍山,anshan,AS,CN
RLK,巴彦淖尔,bayannaoer,BYNE,CN
BZX,巴中,bazhong,BZ,
AEB,百色,baise,BS,CN
BAV,包头,baotou,BT,CN
BSD,保山,baoshan,BS,CN
BHY,北海,beihai,BH,CN
BJS,北京,beijing,BJ,CN
BFJ,毕节,bijie,BJ,CN
BPL,博乐,bole,BL,CN
BPX,昌都,changdou,CD,CN
CGD,常德,changde,CD,CN
CZX,常州,changzhou,CZ,CN
CHG,朝阳,chaoyang,CY,CN
SHE,沈阳,shenyang,SY,CN
CTU,成都,chengdou,CD,CN
CDE,承德,chengde,CD,
JUH,池州,chizhou,CZ,CN
CIF,赤峰,chifeng,CF,CN
DAX,达州,dazhou,DZ,CN
DLU,大理,dali,DL,CN
DLC,大连,dalian,DL,CN
DQA,大庆,daqing,DQ,CN
DAT,大同,datong,DT,CN
DDG,丹东,dandong,DD,CN
DCY,稻城,daocheng,DC,CN
LUM,德宏,dehong,DH,CN
HXD,德令哈,delingha,DLH,CN
DIG,迪庆,diqing,DQ,CN
DOY,东营,dongying,DY,CN
DNH,敦煌,dunhuang,DH,CN
EJN,额济纳旗,ejinaqi,EJNQ,CN
DSN,鄂尔多斯,eerduosi,EEDS,CN
ENH,恩施,enshi,ES,CN
ERL,二连浩特,erlianhaote,ELHT,CN
FUO,佛山,foshan,FS,CN
FOC,福州,fuzhou,FZ,CN
FUG,阜阳,fuyang,FY,CN
FYN,富蕴,fuyun,FY,
FYN,富蕴,fuyun,FY,
KOW,赣州,ganzhou,GZ,CN
GOQ,格尔木,geermu,GEM,CN
GYU,固原,guyuan,GY,CN
LHK,光化,guanghua,GH,CN
GHN,广汉,guanghan,GH,CN
GYS,广元,guangyuan,GY,CN
CAN,广州,guangzhou,GZ,CN
KWE,贵阳,guiyang,GY,CN
KWL,桂林,guilin,GL,CN
HRB,哈尔滨,haerbin,HEB,CN
HMI,哈密,hami,HM,CN
HAK,海口,haikou,HK,CN
HLD,海拉尔,hailaer,HLE,CN
HDG,邯郸,handan,HD,CN
HZG,汉中,hanzhong,HZ,CN
HGH,杭州,hangzhou,HZ,CN
HFE,合肥,hefei,HF,CN
HTN,和田,hetian,HT,CN
HCJ,河池,hechi,HC,CN
HEK,黑河,heihe,HH,CN
HNY,衡阳,hengyang,HY,CN
HET,呼和浩特,huhehaote,HHHT,CN
HUN,花莲,hualian,HL,CN
HTT,花土沟,huatugou,HTG,
HJJ,怀化,huaihua,HH,CN
HIA,淮安,huaian,HA,CN
TXN,黄山,huangshan,HS,CN
HUZ,惠州,huizhou,HZ,CN
HUO,霍林郭勒,huolinguole,HLGL,CN
JXA,鸡西,jixi,JX,CN
JIL,吉林,jilin,JL,CN
TNA,济南,jinan,JN,CN
JNG,济宁,jining,JN,CN
JGD,加格达奇,jiagedaqi,JGDQ,CN
JMU,佳木斯,jiamusi,JMS,CN
JGN,嘉峪关,jiayuguan,JYG,CN
SWA,揭阳,jieyang,JY,CN
JIC,金昌,jinchang,JC,CN
JNZ,锦州,jinzhou,JZ,CN
JGS,井冈山,jinggangshan,JGS,CN
JDZ,景德镇,jingdezhen,JDZ,CN
JIU,九江,jiujiang,JJ,CN
JZH,九寨沟,jiuzhaiu,JZG,CN
KJI,喀纳斯,kanasi,KNS,CN
KHG,喀什,kashi,KS,CN
KJH,凯里,kaili,KL,CN
KGT,康定,kangding,KD,CN
KRY,克拉玛依,kelamayi,KLMY,CN
KCA,库车,kuche,KC,CN
KRL,库尔勒,kuerle,KEL,CN
KMG,昆明,kunming,KM,CN
LXA,拉萨,lasa,LS,CN
LHW,兰州,lanzhou,LZ,CN
HZH,黎平,liping,LP,CN
LJG,丽江,lijiang,LJ,CN
LLB,荔波,libo,LB,CN
LYG,连云港,lianyungang,LYG,CN
LIA,梁平,liangping,LP,CN
LXI,林西,linxi,LX,CN
LZY,林芝,linzhi,LZ,CN
LNJ,临沧,lincang,LC,CN
LFQ,临汾,linfen,LF,CN
LYI,临沂,linyi,LY,CN
LZH,柳州,liuzhou,LZ,CN
LPF,六盘水,liupanshui,LPS,CN
LCX,龙岩,longyan,LY,CN
LNL,陇南,longnan,LN,
LZO,泸州,luzhou,LZ,CN
LLV,吕梁,lvliang,LL,CN
LYA,洛阳,luoyang,LY,CN
