code,full_name,name
CA,中国国际航空公司,国航
CZ,中国南方航空(集团)公司,南航
MU,中国东方航空公司,东航
ZH,深圳航空公司,深航
HU,海南航空公司,海航
DZ,东海航空公司,东海航空
QW,青岛航空,青岛航空
DR,瑞丽航空公司,瑞丽航空
YI,英安航空公司,英安航空
FU,福州航空公司,福州航空
UQ,乌鲁木齐航空公司,乌鲁木齐航空
AQ,九元航空有限公司,九元航空
GX,北部湾航空公司,北部湾航空
3U,四川航空公司,川航
CN,大新华航空有限公司,大新华
FM,上海航空公司,上航
MF,厦门航空有限公司,厦航
SC,山东航空公司,山航
BK,奥凯航空公司,奥凯
EU,成都航空公司,成都航空
KN,中国联合航空公司,中联航
8C,东星航空公司,东星航空
8L,祥鹏航空公司,祥鹏
HO,吉祥航空公司,吉祥
G5,华夏航空公司,华夏
GS,天津航空有限责任公司,天津航空
PN,西部航空有限责任公司,西部航空
NS,河北航空公司,河北航空
VD,鲲鹏航空公司,鲲鹏
JD,首都航空公司（原金鹿航空）,首都航空
OQ,重庆航空公司,重庆航空
JR,幸福航空公司,幸福航空
9C,春秋航空有限公司,春秋
KY,昆明航空公司,昆明航空
TV,西藏航空有限公司,西藏航空
GJ,长龙航空,长龙航空
K6,柬埔寨吴哥窟航空公司,柬埔寨吴哥窟航空公司
T7,TWIN JET,TWIN JET
AD,巴西蔚蓝航空,巴西蔚蓝航空
VX,哥伦比亚中央航空公司,中央航空
FZ,迪拜航空,迪拜航空
4U,德国之翼,德国之翼
2P,菲律宾菲鹰航空有限公司,菲鹰航空
2Z,长安航空公司（中国）,长安航空
3K,捷星亚洲航空公司,捷星航空
3P,赤道航空有限公司（肯尼亚）,赤道航空-肯尼亚
3Q,东方航空云南公司,东方航空-云南
3W,南京航空公司（中国）,南京航空
5J,宿务太平洋,宿务太平洋
5L,玻利维亚苏尔航空公司,玻利维亚航空
5X,美国联合包裹运输公司,联合包裹运输公司
5Y,美国阿特拉斯航空公司,美国阿特拉斯航空
6U,乌克兰航空公司,乌克兰航空
6Y,尼加拉瓜航空公司,尼加拉瓜航空
8G,安琪航空公司,安琪航空
8Y,邮政航空公司,邮政航空
9I,泰国天鹰航空,泰国天鹰航空
9K,开普航空公司,开普航空
9W,捷特航空(印度)有限公司,捷特航空
AA,美国航空公司,美国航空
AB,柏林航空公司（德国）,柏林航空
AC,加拿大航空公司,加拿大航空
AF,法国航空公司,法国航空
AH,阿尔及利亚航空公司,阿尔及利亚航空
AI,印度航空公司,印度航空
AJ,比利时航空公司,比利时航空
AK,大马亚洲航空公司,大马亚洲航空
AM,墨西哥国际航空公司,墨西哥航空
